17,1,2,20,-0.17316619
19,1,2,20,-0.24742119
21,1,3,20,-0.4003547
23,1,3,20,-0.4195552
25,1,3,20,-0.41712803
27,1,3,20,-0.4213851
29,1,3,20,-0.45206925
31,1,4,20,-0.70860404
33,1,4,20,-0.7017259
35,1,4,20,-0.7296029
37,1,4,20,-0.71521515
39,1,4,20,-0.68091494
1,9,1,30,0.15053472
3,9,1,30,0.3494358
5,9,1,30,0.43044204
7,9,1,30,0.49540767
9,9,1,30,0.63122886
11,9,2,30,-0.2518113
13,9,2,30,-0.050853904
15,9,2,30,-0.05599663
17,9,2,30,-0.10434891
19,9,2,30,-0.20097941
21,9,3,30,-0.47698718
23,9,3,30,-0.49885258
25,9,3,30,-0.50968415
27,9,3,30,-0.5348962
29,9,3,30,-0.59782696
31,9,4,30,-0.8359655
33,9,4,30,-0.78200006
35,9,4,30,-0.75413644
37,9,4,30,-0.7315869
39,9,4,30,-0.71072304
1,7,1,30,0.17677814
3,7,1,30,0.46245992
5,7,1,30,0.5860273
7,7,1,30,0.66277987
9,7,1,30,0.7325993
11,7,2,30,-0.24647598
13,7,2,30,0.002475149
15,7,2,30,-0.0055225054
17,7,2,30,-0.0718399
19,7,2,30,-0.22596435
21,7,3,30,-0.48029822
23,7,3,30,-0.51136
25,7,3,30,-0.5415503
27,7,3,30,-0.570449
29,7,3,30,-0.6225822
31,7,4,30,-0.85674787
33,7,4,30,-0.77997327
35,7,4,30,-0.75683796
37,7,4,30,-0.72308564
39,7,4,30,-0.6865758
1,5,1,30,0.14577113
3,5,1,30,0.43088603
5,5,1,30,0.5553782
7,5,1,30,0.6484985
9,5,1,30,0.6958362
11,5,2,30,-0.22314295
13,5,2,30,-0.008742615
15,5,2,30,-0.010531175
17,5,2,30,-0.07695775
19,5,2,30,-0.23489109
21,5,3,30,-0.4687802
23,5,3,30,-0.50903267
25,5,3,30,-0.53538185
27,5,3,30,-0.5499295
29,5,3,30,-0.6024654
31,5,4,30,-0.8373022
33,5,4,30,-0.7799038
35,5,4,30,-0.7522947
37,5,4,30,-0.7066563
39,5,4,30,-0.6575988
1,3,1,30,0.08101523
3,3,1,30,0.38052526
5,3,1,30,0.50442475
7,3,1,30,0.5968278
9,3,1,30,0.63083804
11,3,2,30,-0.21014926
13,3,2,30,-0.037218638
15,3,2,30,-0.025678655
17,3,2,30,-0.07641961
19,3,2,30,-0.2355031
21,3,3,30,-0.44355407
23,3,3,30,-0.48117602
25,3,3,30,-0.51732063
27,3,3,30,-0.5206383
29,3,3,30,-0.5574741
31,3,4,30,-0.77176446
33,3,4,30,-0.75536734
35,3,4,30,-0.7356565
37,3,4,30,-0.69702274
39,3,4,30,-0.6409806
1,1,1,30,0.08587915
3,1,1,30,0.35976925
5,1,1,30,0.4965365
7,1,1,30,0.5599257
9,1,1,30,0.5157101
11,1,2,30,-0.17750265
13,1,2,30,-0.009702236
15,1,2,30,0.00588617
17,1,2,30,-0.06684979
19,1,2,30,-0.2165183
21,1,3,30,-0.4517753
23,1,3,30,-0.47607422
25,1,3,30,-0.48079988
27,1,3,30,-0.4825764
29,1,3,30,-0.48282567
31,1,4,30,-0.7208447
33,1,4,30,-0.71585774
35,1,4,30,-0.72169805
37,1,4,30,-0.6809941
39,1,4,30,-0.64344895
1,9,1,40,0.017910356
3,9,1,40,0.20747878
5,9,1,40,0.2967405
7,9,1,40,0.36064872
9,9,1,40,0.52346164
11,9,2,40,0.22948128
13,9,2,40,0.11133926
15,9,2,40,0.064344615
17,9,2,40,-0.0089751035
19,9,2,40,-0.13401034
21,9,3,40,-0.5449833
23,9,3,40,-0.5743595
25,9,3,40,-0.5808699
27,9,3,40,-0.5898349
29,9,3,40,-0.62839967
31,9,4,40,-0.7367897
33,9,4,40,-0.68604076
35,9,4,40,-0.66120785
37,9,4,40,-0.63832057
39,9,4,40,-0.6227471
1,7,1,40,0.037664365
3,7,1,40,0.30177763
5,7,1,40,0.43160307
7,7,1,40,0.51223
9,7,1,40,0.6403272
11,7,2,40,0.2626573
13,7,2,40,0.23117003
15,7,2,40,0.1367938
17,7,2,40,0.03837991
19,7,2,40,-0.16428997
21,7,3,40,-0.5397182
23,7,3,40,-0.5783019
25,7,3,40,-0.61606956
27,7,3,40,-0.63697714
29,7,3,40,-0.6611252
31,7,4,40,-0.74051034
33,7,4,40,-0.69642776
35,7,4,40,-0.6791667
37,7,4,40,-0.6460209
39,7,4,40,-0.6068717
1,5,1,40,0.016244402
3,5,1,40,0.2761868
5,5,1,40,0.39916477
7,5,1,40,0.5110376
9,5,1,40,0.61822367
11,5,2,40,0.2602729
13,5,2,40,0.2426701
15,5,2,40,0.13537832
17,5,2,40,0.0307141
19,5,2,40,-0.18426429
21,5,3,40,-0.5253921
23,5,3,40,-0.5766064
25,5,3,40,-0.608686
27,5,3,40,-0.6107792
29,5,3,40,-0.6393814
31,5,4,40,-0.7205537
33,5,4,40,-0.70457643
35,5,4,40,-0.679092
37,5,4,40,-0.62807196
39,5,4,40,-0.5748558
1,3,1,40,-0.02827873
3,3,1,40,0.2463085
5,3,1,40,0.36737764
7,3,1,40,0.48310626
9,3,1,40,0.58034086
11,3,2,40,0.22957145
13,3,2,40,0.20497587
15,3,2,40,0.110771984
